,OFFENSE,BLKADDR,City,State,Latitude,Longitude
147,THEFT MISD. (UNDER $950),1800 BLOCK SPRUCE ST,Berkeley,CA,37.875053, -122.26548
148,DISTURBANCE,2300 BLOCK WARD ST,Berkeley,CA,37.860105, -122.261901
149,VANDALISM,2300 BLOCK SAN PABLO AVE,Berkeley,CA,37.864385, -122.290697
150,THEFT MISD. (UNDER $950),2600 BLOCK TELEGRAPH AVE,Berkeley,CA,37.862927, -122.258784
151,BURGLARY RESIDENTIAL,1433 OXFORD ST,Berkeley,CA,37.881149, -122.267124
152,IDENTITY THEFT,2900 BLOCK ADELINE ST,Berkeley,CA,37.856121, -122.26876
153,MISSING ADULT,2200 BLOCK ASHBY AVE,Berkeley,CA,37.855684, -122.263491
154,THEFT FROM AUTO,800 BLOCK SHATTUCK AVE,Berkeley,CA,37.891867, -122.272043
155,ROBBERY,1785 4TH ST,Berkeley,CA,37.870311, -122.300756
156,THEFT FROM AUTO,1200 BLOCK SAN PABLO AVE,Berkeley,CA,37.882033, -122.296381
157,BURGLARY COMMERCIAL,600 BLOCK PAGE ST,Berkeley,CA,37.875308, -122.30592
158,VEHICLE STOLEN,1300 BLOCK STANNAGE AVE,Berkeley,CA,37.8808, -122.294036
159,THEFT MISD. (UNDER $950),2100 BLOCK SHATTUCK AVE,Berkeley,CA,37.871167, -122.268285
160,THEFT MISD. (UNDER $950),2300 BLOCK TELEGRAPH AVE,Berkeley,CA,37.868714, -122.259189
161,ROBBERY,1900 BLOCK 4TH ST,Berkeley,CA,37.86825, -122.300093
162,BURGLARY RESIDENTIAL,2900 BLOCK DEAKIN ST,Berkeley,CA,37.857254, -122.262649
163,THEFT MISD. (UNDER $950),2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
164,VANDALISM,1400 BLOCK GRIZZLY PEAK BLVD,Berkeley,CA,37.884902, -122.24847
165,THEFT MISD. (UNDER $950),1050 GILMAN AVE,Berkeley,CA,37.880312, -122.296641
166,BURGLARY AUTO,2400 BLOCK DURANT AVE,Berkeley,CA,37.867513, -122.26127
167,VEHICLE STOLEN,2100 BLOCK ACTON ST,Berkeley,CA,37.869167, -122.284138
168,ROBBERY,2300 SHATTUCK AVE,Berkeley,CA,37.867176, -122.267802
169,VEHICLE STOLEN,1600 BLOCK TACOMA AVE,Berkeley,CA,37.891095, -122.284252
170,BURGLARY COMMERCIAL,700 BLOCK UNIVERSITY AVE,Berkeley,CA,37.867307, -122.300468
171,VANDALISM,3100 BLOCK MARTIN LUTHER KING JR WAY,Berkeley,CA,37.852435, -122.270917
172,DISTURBANCE,1600 BLOCK MARTIN LUTHER KING JR WAY,Berkeley,CA,37.877696, -122.273684
173,THEFT MISD. (UNDER $950),1800 BLOCK UNIVERSITY AVE,Berkeley,CA,37.871246, -122.274991
